long_dd,lat_dd,type,notes
-116,32.5,land,
-120,32.5,,
-118.5,32.5,,
-115.5,31,land,interpolated
-117.9,31,,
-117.1,29,,interpolated
-114,29,land,
-120,27.5,,
-116.5,27.5,,
-113.5,27.5,land,
-114.5,25.5,,interpolated
-111.5,25.5,land,
-112.6,23.6,,interpolated
-110,23.6,land,
-109.57667,23.084833,,Punta Gorda
-120,22,,
-111,22,,
-107.5,22,,
-103,22,land,
-107.5,20,,
-103,20,land,
-104.5667,18,,interpolated
-100,18,land,
-120,16.25,,
-102,16.25,,
-97.2,16.25,land,
-91.5,13.5,,
-88.3,13.5,land,
-85.2,10.25,land,
-87.5,10.25,,
-120,7.5,,
-84,7.5,,
-80.8,7.5,land,
-79,5,,
-69,5,land,
-80.28571,2,,interpolated
-69,2,land,
-120,-2,,
-100,-2,,
-82,-2,,
-69,-2,land,
-82,-5,,
-69,-5,land,
-82,-11,,
-69,-11,land,
-100,-20,,
-76,-20,,
-69,-20,land,
-100,-30,,
-76,-30,,
-69,-30,land,
-100,-41,,
-76,-41,,
-69,-41,land,
,,,
,,,
