SpeciesCode,SpeciesGroupCode,CommonName,CategorizedCommonName,ScientificName,SpeciesTypeCode,TaxCode,ReportGroupCode,Restriction,PacFinCode,DiscontinueDate
001,1,"Tuna, Yellowfin ","Yellowfin, Tuna",Thunnus albacares,1,16,06,,YTNA,N/A
002,1,"Tuna, Skipjack ","Skipjack, Tuna",Katsuwonus pelamis            ,1,16,06,,STNA,N/A
003,1,"Bonito, Pacific ","Pacific, Bonito",Sarda chiliensis              ,1,16,06,,PBNT,N/A
004,1,"Tuna, Bluefin ","Bluefin, Tuna",Thunnus orientalis,1,16,06,,BTNA,N/A
005,1,"Tuna, Albacore ","Albacore, Tuna",Thunnus alalunga              ,1,16,06,,ALBC,N/A
006,1,"Tuna, Unspecified ","Unspecified, Tuna",Scombridae                    ,1,16,06,,UTNA,N/A
007,,Oriental Tuna ,Oriental Tuna,Oriental Tuna,,16,,,,12/31/1964
008,1,"Tuna, Bigeye ","Bigeye, Tuna",Thunnus obesus                ,1,16,06,,OTNA,N/A
009,1,"Tuna, Skipjack, Black ","Black,  Skipjack, Tuna",Euthynnus lineatus            ,1,16,06,,BSJK,N/A
010,,Atlantic Bluefin ,Atlantic Bluefin,Atlantic Bluefin,,16,,,,12/31/1966
011,1,"Tuna, Longtail ","Longtail, Tuna",Thunnus tonggol               ,1,16,06,,OTNA,02/12/2019
012,1,"Tuna, Blackfin ","Blackfin, Tuna",Thunnus atlanticus            ,1,16,06,BOTH,OTNA,02/12/2019
015,1,Escolar ,Escolar,Lepidocybium flavobrunneum    ,1,16,06,,MSC2,N/A
017,1,Oilfish ,Oilfish,Ruvettus pretiosus            ,1,16,06,,MSC2,N/A
019,1,"Mackerel, Bullet ","Bullet, Mackerel",Auxis rochei                  ,1,14,00,,MSC2,N/A
040,1,Yellowtail ,Yellowtail,Seriola lalandi               ,1,12,00,,YLTL,N/A
041,1,"Jack, Pacific Crevalle ","Pacific Crevalle, Jack",Caranx caninus                ,1,16,00,,MSC2,N/A
042,1,"Jacks, Unspecified ","Unspecified, Jacks",Carangidae                    ,1,16,00,,MSC2,N/A
043,1,"Jack, Almaco (amberjack) ","Almaco (amberjack), Jack",Seriola rivoliana             ,1,16,00,,MSC2,N/A
050,1,"Mackerel, Unspecified ","Unspecified, Mackerel",Scomber / Trachurus,1,14,50,,UMCK,N/A
051,1,"Mackerel, Pacific ","Pacific, Mackerel",Scomber japonicus,1,14,50,,CMCK,N/A
055,1,"Mackerel, Jack ","Jack, Mackerel",Trachurus symmetricus,1,14,50,,JMCK,N/A
056,,Large Jack Mackerel ,Large Jack Mackerel,Large Jack Mackerel,,16,,,,01/01/1968
057,1,Wahoo ,Wahoo,Acanthocybium solanderi       ,1,16,00,,WHOO,N/A
058,,New Zealand Mackerel ,New Zealand Mackerel,New Zealand Mackerel,,16,,,,N/A
080,1,Butterfish (pacific Pompano) ,Butterfish (pacific Pompano),Peprilus simillimus           ,1,16,00,,PBTR,N/A
081,1,Pomfret ,Pomfret,Bramidae,1,16,00,,POMF,N/A
090,,Swordfish ,Swordfish,Swordfish,,16,,,,01/01/1974
091,1,Swordfish ,Swordfish,Xiphias gladius               ,1,04,00,,SWRD,N/A
092,1,"Marlin, Striped ","Striped, Marlin",Kajikia audax,1,16,00,COMM,MRLN,N/A
093,1,"Spearfish, Shortbill ","Shortbill, Spearfish",Tetrapturus angustirostris,1,16,00,,SSPF,N/A
095,1,Sailfish ,Sailfish,Istiophorus platypterus       ,1,16,,,SAIL,N/A
096,1,"Shark, White ","White, Shark",Carcharodon carcharias,1,02,15,CPFV,OSRK,N/A
097,1,"Shark, Bigeye Thresher ","Bigeye Thresher, Shark",Alopias superciliosus,1,01,15,,ISRK,N/A
098,1,"Shark, Pelagic Thresher ","Pelagic Thresher, Shark",Alopias pelagicus,1,01,15,,PSRK,N/A
100,1,"Sardine, Pacific ","Pacific, Sardine",Sardinops sagax caeruleus     ,1,15,00,,PSDN,N/A
102,,New Zealand Pilchard ,New Zealand Pilchard,New Zealand Pilchard,,16,,,MSC2,N/A
105,1,"Herring, Round ","Round, Herring",Etrumeus teres                ,1,06,00,,RHRG,N/A
110,1,"Anchovy, Northern ","Northern, Anchovy",Engraulis mordax              ,1,13,00,,NANC,N/A
111,1,"Anchovy, Deepbody ","Deepbody, Anchovy",Anchoa compressa              ,3,13,,,OANC,N/A
112,,Northern Anchovy ,Northern Anchovy,Northern Anchovy,,16,,,,01/01/1974
113,1,"Anchovy, Slough ","Slough, Anchovy",Anchoa delicatissima          ,3,13,,,OANC,N/A
120,,Herring ,Herring,Herring,,16,,,,01/01/1951
121,1,"Herring, Pacific ","Pacific, Herring",Clupea pallasi                ,1,06,00,,PHRG,N/A
122,1,"Herring, Pacific - Roe ","Pacific - Roe, Herring",Clupea pallasi,1,06,00,,PHRG,N/A
130,1,"Barracuda, California ","California, Barracuda",Sphyraena argentea            ,1,12,00,,CUDA,N/A
135,1,"Mullet, Striped ","Striped, Mullet",Mugil cephalus                ,1,16,,,MSC2,N/A
144,1,Senorita ,Senorita,Oxyjulis californica          ,1,16,,,MSC2,N/A
145,1,"Sheephead, California ","California, Sheephead",Semicossyphus pulcher         ,1,16,,,SHPD,N/A
146,1,"Wrasse, Rock ","Rock, Wrasse",Halichoeres semicinctus       ,1,16,00,,MSC2,N/A
147,1,"Skate, Longnose ","Longnose, Skate",Raja rhina,1,16,17,,LSKT,N/A
149,1,"Shark, Blacktip ","Blacktip, Shark",Carcharhinus limbatus,1,16,15,,OSRK,N/A
150,1,"Shark, Unspecified ","Unspecified, Shark",Selachii spp.,1,16,15,,USRK,N/A
151,1,"Shark, Shortfin Mako ","Shortfin Mako, Shark",Isurus oxyrinchus,1,02,15,,MAKO,N/A
152,1,"Shark, Spiny Dogfish ","Spiny Dogfish, Shark",Squalus acanthias,1,16,15,,DSRK,N/A
153,1,"Shark, Leopard ","Leopard, Shark",Triakis semifasciata,1,16,15,,LSRK,N/A
154,1,"Shark, Brown Smoothhound ","Brown Smoothhound, Shark",Mustelus henlei,1,16,15,,OSRK,N/A
155,1,"Shark, Thresher ","Thresher, Shark",Alopias vulpinus,1,01,15,,TSRK,N/A
156,1,"Shark, Basking ","Basking, Shark",Cetorhinus maximus,1,16,15,,OSRK,N/A
157,,Guitar Fish ,Guitar Fish,Guitar Fish,,16,,,MSC2,N/A
