SpeciesCode,SpeciesGroupCode,CommonName,CategorizedCommonName,ScientificName,SpeciesTypeCode,TaxCode,ReportGroupCode,Restriction,PacFinCode,DiscontinueDate
158,1,"Shark, Smooth Hammerhead ","Smooth Hammerhead, Shark",Sphyrna zygaena,1,16,15,,OSRK,N/A
159,1,"Shark, Soupfin ","Soupfin, Shark",Galeorhinus zyopterus,1,16,15,,SSRK,N/A
160,1,"Sharks, Cow ","Cow, Sharks",Hexanchidae,1,16,15,,OSRK,N/A
161,1,"Shark, Sixgill ","Sixgill, Shark",Hexanchus griseus,1,16,15,,OSRK,N/A
162,1,"Shark, Sevengill ","Sevengill, Shark",Notorynchus cepedianus,1,16,15,,OSRK,N/A
163,1,"Shark, Swell ","Swell, Shark",Cephaloscyllium ventriosum,1,16,15,,OSRK,N/A
164,1,"Shark, Dusky ","Dusky, Shark",Carcharhinus obscurus,1,16,15,,OSRK,N/A
165,1,"Shark, Pacific Angel ","Pacific Angel, Shark",Squatina californica,1,03,15,,ASRK,N/A
166,1,"Ratfish, Spotted ","Spotted, Ratfish",Hydrolagus colliei,1,16,00,,RATF,N/A
167,1,"Shark, Blue ","Blue, Shark",Prionace glauca,1,16,15,,BSRK,N/A
168,1,"Shark, Salmon ","Salmon, Shark",Lamna ditropis,1,02,15,,OSRK,N/A
169,1,"Shark, Horn ","Horn, Shark",Heterodontus francisci,1,16,15,,OSRK,N/A
170,1,"Ray, Unspecified ","Unspecified, Ray",Rajiformes,1,16,17,,USKT,N/A
171,1,"Ray, Bat ","Bat, Ray",Myliobatis californica,1,16,17,,BTRY,N/A
172,1,"Ray, Pacific Electric ","Pacific Electric, Ray",Torpedo californica,1,16,17,,OSKT,N/A
173,1,Stingray ,Stingray,Dasyatidae                    ,1,16,17,,OSKT,N/A
174,1,"Guitarfish, Shovelnose ","Shovelnose, Guitarfish",Rhinobatos productus,1,16,17,,OSKT,N/A
175,1,"Skate, Unspecified ","Unspecified, Skate",Rajidae,1,16,17,,USKT,N/A
176,1,"Skate, Big ","Big, Skate",Raja binoculata,1,16,17,,BSKT,N/A
177,1,"Skate, California ","California, Skate",Raja inornata,1,16,17,,CSKT,N/A
178,1,"Skate, Thornback ","Thornback, Skate",Platyrhinoidis triseriata,1,16,17,,OSKT,N/A
179,1,"Shark, Gray Smoothhound ","Gray Smoothhound, Shark",Mustelus californicus,1,16,15,,OSRK,N/A
180,1,"Smelts, True ","True, Smelts",Osmeridae                     ,1,16,18,,SMLT,N/A
181,1,"Grunion, California ","California, Grunion",Leuresthes tenuis             ,1,16,18,,MSC2,N/A
182,1,"Smelt, Surf ","Surf, Smelt",Hypomesus pretiosus           ,1,16,18,,SMLT,N/A
183,,Bay Smelt ,Bay Smelt,Bay Smelt,,16,,,,11/30/1974
184,1,Jacksmelt ,Jacksmelt,Atherinopsis californiensis   ,1,16,18,,SMLT,N/A
185,1,"Smelt, Whitebait ","Whitebait, Smelt",Allosmerus elongatus          ,1,16,18,,SMLT,N/A
186,1,Topsmelt ,Topsmelt,Atherinops affinis            ,1,16,18,,SMLT,N/A
187,1,"Smelt, Night ","Night, Smelt",Spirinchus starksi            ,1,16,18,,SMLT,N/A
188,1,Eulachon ,Eulachon,Thaleichthys pacificus        ,1,16,18,,EULC,N/A
189,1,Silversides ,Silversides,Atherinidae                   ,1,16,18,,MSC2,N/A
190,1,Sablefish ,Sablefish,Anoplopoma fimbria,1,16,00,,SABL,N/A
191,1,Louvar ,Louvar,Luvarus imperialis            ,1,16,00,,LUVR,N/A
195,1,Lingcod ,Lingcod,Ophiodon elongatus,1,16,00,,LCOD,N/A
196,1,"Tomcod, Pacific ","Pacific, Tomcod",Microgadus proximus,1,16,00,,TCOD,N/A
197,1,"Cod, Pacific ","Pacific, Cod",Gadus macrocephalus,1,16,00,,PCOD,N/A
198,1,Grenadier ,Grenadier,Macrouridae,1,16,00,,GRDR,N/A
200,1,"Sole, Unspecified ","Unspecified, Sole",Pleuronectiformes,1,16,20,,UFLT,N/A
201,1,"Flounder, Arrowtooth ","Arrowtooth, Flounder",Atheresthes stomias,1,16,20,,ARTH,N/A
202,1,"Sole, Bigmouth ","Bigmouth, Sole",Hippoglossina stomata,1,16,20,,BMOL,N/A
203,1,"Sole, Rock ","Rock, Sole",Pleuronectes bilineata,1,16,20,,RSOL,N/A
204,1,"Sole, Fantail ","Fantail, Sole",Xystreurys liolepis,1,16,20,,FNTS,N/A
205,1,"Sole, Sand ","Sand, Sole",Psettichthys melanostictus,1,16,20,,SSOL,N/A
206,1,"Sole, English ","English, Sole",Pleuronectes vetulus,1,16,20,,EGLS,N/A
207,1,"Sole, Rex ","Rex, Sole",Errex zachirus,1,16,20,,REX,N/A
208,1,"Sole, Butter ","Butter, Sole",Pleuronectes isolepis,1,16,20,,BSOL,N/A
209,1,"Sole, Petrale ","Petrale, Sole",Eopsetta jordani,1,16,20,,PTRL,N/A
210,1,"Sole, Slender ","Slender, Sole",Eopsetta exilis,1,16,20,,OFLT,N/A
211,1,"Sole, Dover ","Dover, Sole",Microstomus pacificus,1,16,20,,DOVR,N/A
212,1,"Sole, Tongue ","Tongue, Sole",Symphurus atricauda,1,16,20,,UFLT,N/A
220,1,"Halibut, Unspecified ","Unspecified, Halibut",Pleuronectiformes,1,12,20,,UHLB,N/A
221,1,"Halibut, Pacific ","Pacific, Halibut",Hippoglossus stenolepis       ,1,12,20,,PHLB,N/A
222,1,"Halibut, California ","California, Halibut",Paralichthys californicus,1,12,20,,CHLB,N/A
225,1,Sanddab ,Sanddab,Citharichthys spp.,1,16,20,,UDAB,N/A
226,1,"Sanddab, Longfin ","Longfin, Sanddab",Citharichthys xanthostigma,1,16,20,,LDAB,N/A
227,1,"Sanddab, Pacific ","Pacific, Sanddab",Citharichthys sordidus,1,16,20,,PDAB,N/A
228,1,"Sanddab, Speckled ","Speckled, Sanddab",Citharichthys stigmaeus,1,16,20,,SSDB,N/A
230,1,"Flounder, Unspecified ","Unspecified, Flounder",Pleuronectidae,1,16,20,,UFLT,N/A
231,1,"Flounder, Starry ","Starry, Flounder",Platichthys stellatus,1,16,20,,STRY,N/A
235,1,"Sole, Curlfin ","Curlfin, Sole",Pleuronichthys decurrens,1,16,20,,CSOL,N/A
236,1,"Turbot, Diamond ","Diamond, Turbot",Hypsopsetta guttulata,1,16,20,,DTRB,N/A
237,1,"Sole, C- O ","C- O, Sole",Pleuronichthys coenosus,1,16,20,,CTRB,N/A
238,1,"Turbot, Hornyhead ","Hornyhead, Turbot",Pleuronichthys verticalis,1,16,20,,HTRB,N/A
239,1,"Turbot, Spotted ","Spotted, Turbot",Pleuronichthys ritteri,1,16,20,,STRB,N/A
240,1,Turbot ,Turbot,Pleuronectidae,1,16,20,,UTRB,N/A
241,,Curlfin Turbot ,Curlfin Turbot,Curlfin Turbot,,16,,,,N/A
242,,Diamond Turbot ,Diamond Turbot,Diamond Turbot,,16,,,,N/A
243,,C - O Turbot ,C - O Turbot,C & O Turbot,,16,,,,N/A
244,,Horneyhead Turbot ,Horneyhead Turbot,Horneyhead Turbot,,16,,,,N/A
245,1,"Rockfish, Cowcod ","Cowcod, Rockfish",Sebastes levis,1,16,25,CPFV,CWC1,N/A
246,1,"Rockfish, Copper (whitebelly) ","Copper (whitebelly), Rockfish",Sebastes caurinus,1,16,25,BOTH,COP1,N/A
247,1,"Rockfish, Canary ","Canary, Rockfish",Sebastes pinniger,1,16,25,CPFV,CNR1,N/A
249,1,"Rockfish, Vermilion ","Vermilion, Rockfish",Sebastes miniatus,1,16,25,,VRM1,N/A
250,1,"Rockfish, Unspecified ","Unspecified, Rockfish",Sebastes spp.,1,16,25,,URCK,02/12/2019
251,1,"Rockfish, Black- And- Yellow ","Black- And- Yellow, Rockfish",Sebastes chrysomelas,1,16,25,,BYL1,N/A
252,1,"Rockfish, Black ","Black, Rockfish",Sebastes melanops,1,16,25,,BLK1,N/A
253,1,"Rockfish, Bocaccio ","Bocaccio, Rockfish",Sebastes paucispinis,1,16,25,,BCC1,N/A
254,1,"Rockfish, Chilipepper ","Chilipepper, Rockfish",Sebastes goodei,1,16,25,,CLP1,N/A
255,1,"Rockfish, Greenspotted ","Greenspotted, Rockfish",Sebastes chlorostictus,1,16,25,,GSP1,N/A
256,1,"Rockfish, Starry ","Starry, Rockfish",Sebastes constellatus,1,16,25,,STR1,N/A
257,1,"Rockfish, Darkblotched ","Darkblotched, Rockfish",Sebastes crameri,1,16,25,,DBR1,N/A
258,1,"Rockfish, China ","China, Rockfish",Sebastes nebulosus,1,16,25,,CHN1,N/A
259,1,"Rockfish, Yellowtail ","Yellowtail, Rockfish",Sebastes flavidus,1,16,25,,YTR1,N/A
260,1,"Scorpionfish, California ","California, Scorpionfish",Scorpaena guttata,1,16,25,,SCR1,N/A
261,1,Cabezon ,Cabezon,Scorpaenichthys marmoratus,1,16,,,CBZ1,N/A
262,1,Thornyheads ,Thornyheads,Sebastolobus spp.,1,16,25,,THDS,02/12/2019
263,1,"Rockfish, Gopher ","Gopher, Rockfish",Sebastes carnatus,1,16,25,,GPH1,N/A
264,1,"Rockfish, Pinkrose ","Pinkrose, Rockfish",Sebastes simulator,1,16,25,,PRR1,N/A
265,1,"Rockfish, Yelloweye ","Yelloweye, Rockfish",Sebastes ruberrimus,1,16,25,CPFV,YEY1,N/A
266,,Large Red Rockfish ,Large Red Rockfish,Large Red Rockfish,,16,,,,01/01/1968
267,1,"Rockfish, Brown ","Brown, Rockfish",Sebastes auriculatus,1,16,25,,BRW1,N/A
268,1,"Rockfish, Rosy ","Rosy, Rockfish",Sebastes rosaceus,1,16,25,,ROS1,N/A
269,1,"Rockfish, Widow ","Widow, Rockfish",Sebastes entomelas,1,16,25,,WDW1,N/A
270,1,"Rockfish, Splitnose ","Splitnose, Rockfish",Sebastes diploproa,1,16,25,,SNS1,N/A
271,1,"Rockfish, Pacific Ocean Perch ","Pacific Ocean Perch, Rockfish",Sebastes alutus,1,16,25,,POP,N/A
272,1,"Sculpin, Staghorn ","Staghorn, Sculpin",Leptocottus armatus,1,16,00,,SCLP,N/A
273,1,"Sculpin, Yellowchin ","Yellowchin, Sculpin",Icelinus quadriseriatus       ,1,16,,,SCLP,N/A
275,1,"Bass, Rock ","Rock, Bass",Paralabrax spp.               ,1,16,27,BOTH,OBAS,N/A
276,1,"Bass, Spotted Sand ","Spotted Sand, Bass",Paralabrax maculatofasciatus,1,16,27,COMM,OBAS,N/A
277,1,"Bass, Kelp ","Kelp, Bass",Paralabrax clathratus         ,1,16,27,COMM,OBAS,N/A
278,1,"Bass, Barred Sand ","Barred Sand, Bass",Paralabrax nebulifer          ,1,16,27,COMM,OBAS,N/A
280,1,"Bass, Giant Sea ","Giant Sea, Bass",Stereolepis gigas,1,12,00,CPFV,GBAS,N/A
281,,Shortfin Sea Bass ,Shortfin Sea Bass,Shortfin Sea Bass,,16,,,,01/01/1974
285,,Pelican Rockfish ,Pelican Rockfish,Pelican Rockfish,,16,,,,N/A
289,1,"Greenling, Rock ","Rock, Greenling",Hexagrammos lagocephalus,1,16,00,,RGL1,N/A
290,1,"Greenling, Kelp ","Kelp, Greenling",Hexagrammos decagrammus,1,16,00,,KGL1,N/A
291,1,Triggerfish ,Triggerfish,Balistidae                    ,1,16,,,MSC2,N/A
292,1,"Sunfish, Ocean ","Ocean, Sunfish",Mola mola                     ,1,16,00,,MOLA,N/A
300,1,Salmon ,Salmon,Oncorhynchus spp.             ,1,05,30,,USMN,01/20/2022
301,1,"Salmon, Chum ","Chum, Salmon",Oncorhynchus keta             ,1,05,30,,CHUM,N/A
302,1,"Salmon, Chinook ","Chinook, Salmon",Oncorhynchus tshawytscha,1,05,30,,CHNK,N/A
303,1,"Salmon, Pink ","Pink, Salmon",Oncorhynchus gorbuscha        ,1,05,30,,PINK,N/A
304,1,"Salmon, Coho ","Coho, Salmon",Oncorhynchus kisutch,1,05,30,CPFV,COHO,N/A
305,,Salmon Roe ,Salmon Roe,Salmon Roe,,16,,,,N/A
306,1,"Salmon, Roe (chinook, Coho) ","Coho),  Roe (chinook, Salmon",Oncorhynchus spp.,1,05,30,,USMN,N/A
310,,Unclassified Trout ,Unclassified Trout,Unclassified Trout,,16,,,,N/A
311,,Loch Leven Brown Trout ,Loch Leven Brown Trout,Loch Leven Brown Trout,,16,,,,N/A
312,,Cutthroat Trout ,Cutthroat Trout,Cutthroat Trout,,16,,,,N/A
313,,Dolly Varden Trout ,Dolly Varden Trout,Dolly Varden Trout,,16,,,,N/A
314,,Eastern Brook Trout ,Eastern Brook Trout,Eastern Brook Trout,,16,,,,N/A
316,1,"Trout, Rainbow ","Rainbow, Trout",Oncorhynchus mykiss,5,16,34,CPFV,STLH,N/A
317,,Golden Trout ,Golden Trout,Golden Trout,,16,,,,N/A
320,1,"Catfish, Unspecified ","Unspecified, Catfish",Siluriformes                  ,5,16,34,,,N/A
321,,Fork Tail Catfish ,Fork Tail Catfish,Fork Tail Catfish,,16,,,,09/01/1953
322,1,"Bullhead, Brown ","Brown, Bullhead",Ameiurus nebulosus            ,5,16,34,,,N/A
324,1,"Shad, Threadfin ","Threadfin, Shad",Dorosoma petenense            ,5,16,34,,SHAD,N/A
325,1,"Shad, American ","American, Shad",Alosa sapidissima             ,4,16,34,,SHAD,N/A
326,,Roe Shad ,Roe Shad,Roe Shad,,16,,,,01/01/1965
327,,Buck Shad ,Buck Shad,Buck Shad,,16,,,,01/01/1965
332,,Freshwater Trout ,Freshwater Trout,Freshwater Trout,,16,,,,N/A
334,,Freshwater Rock Bass ,Freshwater Rock Bass,Freshwater Rock Bass,,16,,,,N/A
335,1,"Bass, Striped ","Striped, Bass",Morone saxatilis              ,4,16,00,COMM,OBAS,N/A
336,,Calico Bass ,Calico Bass,Calico Bass,,16,,,,N/A
337,,Freshwater Rock Bass ,Freshwater Rock Bass,Freshwater Rock Bass,,16,,,,N/A
338,,Small Mouthed Black Bass ,Small Mouthed Black Bass,Small Mouthed Black Bass,,16,,,,N/A
339,,Large Mouthed Black Bass ,Large Mouthed Black Bass,Large Mouthed Black Bass,,16,,,,N/A
340,1,Tilapia ,Tilapia,Tilapia spp.                  ,4,16,00,,MSC2,N/A
341,2,"Crab, Red Rock ","Red Rock, Crab",Cancer productus              ,1,10,80,,RCRB,N/A
342,2,"Crab, Yellow Rock ","Yellow Rock, Crab",Cancer anthonyi               ,1,10,80,,RCRB,N/A
343,2,"Crab, Brown Rock ","Brown Rock, Crab",Cancer antennarius,1,10,80,,RCRB,N/A
345,1,Carp ,Carp,Cyprinus carpio               ,5,16,34,,,N/A
346,1,Hardhead (freshwater) ,Hardhead (freshwater),Mylopharodon conocephalus     ,5,16,34,,,N/A
347,1,Splittail ,Splittail,Pogonichthys macrolepidotus   ,5,16,34,,,N/A
348,1,Hitch ,Hitch,Lavinia exilicauda            ,5,16,34,,,N/A
349,1,"Blackfish, Sacramento ","Sacramento, Blackfish",Orthodon microlepidotus       ,5,16,34,,,N/A
351,,Sacramento Perch ,Sacramento Perch,Sacramento Perch,,16,,,,N/A
361,1,"Stickleback, Threespine ","Threespine, Stickleback",Gasterosteus aculeatus        ,5,16,34,,MSC2,N/A
365,1,Squawfish ,Squawfish,Ptychocheilus grandis         ,5,16,34,,,N/A
366,,Crappie ,Crappie,Crappie,,16,,,,N/A
367,,Bluegill ,Bluegill,Bluegill,,16,,,,N/A
375,1,Sucker ,Sucker,Catostomidae                  ,5,16,34,,,N/A
400,1,"Seabass, White ","White, Seabass",Atractoscion nobilis          ,1,12,,,WBAS,N/A
401,,Civache ,Civache,Civache,,16,,,,N/A
410,1,"Seabass, Totuava ","Totuava, Seabass",Totoaba macdonaldi            ,1,16,00,BOTH,MSC2,N/A
414,,Robalos ,Robalos,Robalos,,16,,,,N/A
415,1,Snapper - Mexico- ,Snapper - Mexico-,Lutianidae                    ,1,16,,,MSC2,N/A
420,1,"Croaker, Unspecifed ","Unspecifed, Croaker",Sciaenidae,1,16,40,,OCRK,N/A
421,1,"Croaker, Black ","Black, Croaker",Cheilotrema saturnum,1,16,40,,OCRK,N/A
422,1,"Croaker, Spotfin ","Spotfin, Croaker",Roncador stearnsii,1,16,40,COMM,OCRK,N/A
423,1,"Croaker, Yellowfin ","Yellowfin, Croaker",Umbrina roncador,1,16,40,COMM,OCRK,N/A
426,1,"Corbina, California ","California, Corbina",Menticirrhus undulatus        ,1,16,40,COMM,MSC2,N/A
427,1,"Corvina, Shortfin ","Shortfin, Corvina",Cynoscion parvipinnis         ,1,16,40,,MSC2,N/A
430,1,Grouper ,Grouper,Mycteroperca / Epinephelus,1,16,,CPFV,OBAS,N/A
431,1,"Cabrilla, Spotted ","Spotted, Cabrilla",Epinephelus analogus          ,1,16,,,OBAS,N/A
432,1,"Grouper, Broomtail ","Broomtail, Grouper",Mycteroperca xenarcha         ,1,16,00,CPFV,OBAS,N/A
435,1,"Croaker, White ","White, Croaker",Genyonemus lineatus,1,16,40,,WCRK,N/A
440,1,Queenfish ,Queenfish,Seriphus politus,1,16,40,,QFSH,N/A
445,1,Flyingfish ,Flyingfish,Exocoetidae spp.              ,1,12,00,,MSC2,N/A
446,1,"Saury, Pacific ","Pacific, Saury",Cololabis saira               ,1,16,00,,SARY,N/A
450,1,Eel ,Eel,Osteichthyes,1,16,00,,EELS,N/A
451,1,"Eel, Blenny ","Blenny, Eel",Lumpenus anguillaris,1,16,,,EELS,N/A
452,1,"Eel, California Moray ","California Moray, Eel",Gymnothorax mordax,1,16,00,,EELS,N/A
453,1,"Lamprey, Pacific ","Pacific, Lamprey",Lampetra tridentata,4,16,34,,MSC2,N/A
454,1,"Eel, Wolf (wolf- Eel) ","Wolf (wolf- Eel), Eel",Anarrhichthys ocellatus,1,16,00,,WEEL,N/A
455,1,"Eel, Spotted Cusk- ","Spotted Cusk-, Eel",Chilara taylori,1,16,00,,CEEL,N/A
456,1,"Prickleback, Monkeyface (eel) ","Monkeyface (eel), Prickleback",Cebidichthys violaceus,1,16,00,,MEEL,N/A
457,1,"Hagfish, Unspecified ","Unspecified, Hagfish",Eptatretus spp.               ,1,16,00,,UHAG,N/A
458,1,"Hagfish, Pacific ","Pacific, Hagfish",Eptatretus stoutii,,,,,,N/A
459,1,Black Hagfish ,Black Hagfish,Eptatretus deani,,,,,,N/A
465,,Tai ,Tai,Tai,,16,,,,N/A
467,1,Opah ,Opah,Lampris guttatus,1,16,00,,MSC2,N/A
470,1,Sturgeons ,Sturgeons,Acipenseridae,4,16,00,COMM,USTG,N/A
471,1,"Sturgeon, Green ","Green, Sturgeon",Acipenser medirostris,4,16,00,BOTH,GSTG,N/A
472,1,"Sturgeon, White ","White, Sturgeon",Acipenser transmontanus,4,16,00,COMM,WSTG,N/A
473,1,"Lizardfish, California ","California, Lizardfish",Synodus lucioceps,1,16,,,MSC2,N/A
474,1,"Perch- Like, Unspecified ","Unspecified, Perch- Like",Kyphosidae/Pomacentridae,1,16,00,COMM,MSC2,N/A
475,1,Opaleye ,Opaleye,Girella nigricans             ,1,16,00,,MSC2,N/A
476,1,"Needlefish, California ","California, Needlefish",Strongylura exilis            ,1,16,,,MSC2,N/A
477,1,Bonefish ,Bonefish,Albula vulpes                 ,1,16,00,,MSC2,N/A
478,1,Halfmoon ,Halfmoon,Medialuna californiensis      ,1,16,00,,MSC2,N/A
479,1,Blacksmith ,Blacksmith,Chromis punctipinnis          ,1,16,00,,MSC2,N/A
480,1,Sargo ,Sargo,Anisotremus davidsonii        ,1,16,,,MSC2,N/A
481,1,Dolphin (fish) ,Dolphin (fish),Coryphaena hippurus           ,1,16,00,,MSC2,N/A
482,1,Garibaldi ,Garibaldi,Hypsypops rubicundus          ,1,16,00,CPFV,MSC2,N/A
483,1,"Mudsucker, Longjaw ","Longjaw, Mudsucker",Gillichthys mirabilis         ,3,16,,,MSC2,N/A
484,1,Salema ,Salema,Xenistius californiensis      ,1,16,,,MSC2,N/A
485,1,"Midshipman, Plainfin ","Plainfin, Midshipman",Porichthys notatus            ,1,16,,,MSHP,N/A
486,1,"Goby, Bluebanded ","Bluebanded, Goby",Lythrypnus dalli              ,1,16,00,,MSC2,N/A
487,1,"Goby, Yellowfin ","Yellowfin, Goby",Acanthogobius flavimanus      ,3,16,00,,MSC2,N/A
488,1,"Goby, Zebra ","Zebra, Goby",Lythrypnus zebra              ,1,16,00,,MSC2,N/A
490,1,"Whitefish, Ocean ","Ocean, Whitefish",Caulolatilus princeps         ,1,16,00,,OWFS,N/A
491,1,"Killifish, California ","California, Killifish",Fundulus parvipinnis          ,3,16,,,MSC2,N/A
495,1,"Whiting, Pacific ","Pacific, Whiting",Merluccius productus,1,16,00,,PWHT,N/A
501,1,"Kelpfish, Giant ","Giant, Kelpfish",Heterostichus rostratus       ,1,16,00,,KFSH,N/A
510,1,Kelpfishes ,Kelpfishes,Gibbonsia spp.                ,1,16,00,,MSC2,N/A
550,1,"Surfperch, Unspecified ","Unspecified, Surfperch",Embiotocidae,1,16,55,,SRFP,N/A
551,1,"Surfperch, Barred ","Barred, Surfperch",Amphistichus argenteus        ,1,16,55,,SRFP,N/A
552,1,"Surfperch, Black ","Black, Surfperch",Embiotoca jacksoni            ,1,16,55,,SRFP,N/A
553,1,"Surfperch, Redtail ","Redtail, Surfperch",Amphistichus rhodoterus       ,1,16,55,,SRFP,N/A
554,1,"Surfperch, Shiner ","Shiner, Surfperch",Cymatogaster aggregata        ,1,16,55,,SRFP,N/A
