"port_complex","port_complex_code","port","port_code","county_code","discontinued_date"
"Bodega Bay",3,"Acampo",359,39,1996-01-01
"Bodega Bay",3,"Antioch",356,7,1996-01-01
"Bodega Bay",3,"Antioch Bridge",360,7,1996-01-01
"Bodega Bay",3,"Arbuckle",276,6,1996-01-01
"Bodega Bay",3,"Auburn",260,31,1996-01-01
"Bodega Bay",3,"Birds Landing",329,48,1996-01-01
"Bodega Bay",3,"Bodega Bay",473,49,NA
"Bodega Bay",3,"Bolinas",487,21,NA
"Bodega Bay",3,"Brentwood",323,7,1996-01-01
"Bodega Bay",3,"Broderick",362,57,1996-01-01
"Bodega Bay",3,"Bryte",350,57,1996-01-01
"Bodega Bay",3,"Byron",318,7,1996-01-01
"Bodega Bay",3,"Camp Connell",303,5,1996-01-01
"Bodega Bay",3,"Ceres",501,50,1996-01-01
"Bodega Bay",3,"Citrus Heights",258,34,1996-01-01
"Bodega Bay",3,"Clear Lake",361,17,1996-01-01
"Bodega Bay",3,"Collinsville",342,48,1996-01-01
"Bodega Bay",3,"Colusa",365,6,1996-01-01
"Bodega Bay",3,"Concord",259,7,1996-01-01
"Bodega Bay",3,"Cordelia",398,48,1996-01-01
"Bodega Bay",3,"Corning",269,52,1996-01-01
"Bodega Bay",3,"Danville",304,7,1996-01-01
"Bodega Bay",3,"Davis",319,57,1996-01-01
"Bodega Bay",3,"Denverton",328,48,1996-01-01
"Bodega Bay",3,"Dillon Beach",441,21,NA
"Bodega Bay",3,"Dixon",302,48,1996-01-01
"Bodega Bay",3,"Drakes Bay",437,21,NA
"Bodega Bay",3,"El Dorado Hills",396,9,1996-01-01
"Bodega Bay",3,"Elk Grove",364,34,1996-01-01
"Bodega Bay",3,"Fair Oaks",317,34,1996-01-01
"Bodega Bay",3,"Fairfield",266,48,1996-01-01
"Bodega Bay",3,"Galt",267,34,1996-01-01
"Bodega Bay",3,"Glenn",313,11,1997-01-01
"Bodega Bay",3,"Gridley",373,4,1996-01-01
"Bodega Bay",3,"Gustine",311,24,1996-01-01
"Bodega Bay",3,"Hood",368,34,1996-01-01
"Bodega Bay",3,"Inverness",474,21,NA
"Bodega Bay",3,"Isleton",349,34,1996-01-01
"Bodega Bay",3,"Lakeport",358,17,1996-01-01
"Bodega Bay",3,"Lathrop",338,39,1996-01-01
"Bodega Bay",3,"Lee Vining",394,26,1996-01-01
"Bodega Bay",3,"Livermore",413,1,1996-01-01
"Bodega Bay",3,"Lodi",347,39,1996-01-01
"Bodega Bay",3,"Los Molinos",264,52,1996-01-01
"Bodega Bay",3,"Lucerne",371,17,1996-01-01
"Bodega Bay",3,"Manteca",379,39,1996-01-01
"Bodega Bay",3,"Marconi Cove",488,21,NA
"Bodega Bay",3,"Marshall",462,21,NA
"Bodega Bay",3,"Marysville",315,53,1996-01-01
"Bodega Bay",3,"Middle River",372,39,1996-01-01
"Bodega Bay",3,"Modesto",376,50,1996-01-01
"Bodega Bay",3,"Montezuma Slough",326,48,1996-01-01
"Bodega Bay",3,"Nice",327,17,1996-01-01
"Bodega Bay",3,"Nicolaus",395,51,1996-01-01
"Bodega Bay",3,"Oakley",387,7,1996-01-01
"Bodega Bay",3,"Old River",339,7,1996-01-01
"Bodega Bay",3,"Olivehurst",310,58,1996-01-01
"Bodega Bay",3,"Orangevale",256,34,1996-01-01
"Bodega Bay",3,"Orland",271,11,1996-01-01
"Bodega Bay",3,"Oroville",257,4,1996-01-01
"Bodega Bay",3,"Patterson",370,50,1996-01-01
"Bodega Bay",3,"Pittsburg",345,7,NA
"Bodega Bay",3,"Placerville",306,9,1996-01-01
